ID,Name,Category,Subcategory,Country,Launched,Deadline,Goal,Pledged,Backers,State
192297293,MUCH ADO ABOUT NOTHING: empowering youth through film and shakespeare,Film & Video,Film & Video,United States,1/29/2010 21:39,2/25/2010,1500,1793,31,Successful
2090723066,Veg-Out: A Vegan and Vegetarian Travel Show,Film & Video,Webseries,United States,1/16/2015 3:00,2/15/2015,30000,6183,81,Failed
2017442353,Departure From Normal - DFN ~ No Labels Here.,Music,Pop,United Kingdom,4/4/2014 0:00,4/15/2014,15127,2330,9,Failed
1468645971,GlomTom: Ergonomic Pad Will Level Up Your Gaming Experience,Design,Product Design,United States,5/5/2014 2:22,6/4/2014,9500,10746,79,Successful
592525505,The Only Airbag Vest for Motorcycle and Horse Riders,Fashion,Apparel,United States,11/25/2015 19:40,1/6/2016,12000,1948,11,Failed
502775714,Flatrock's Newfoundland Ticket Drive!,Music,Music,Canada,4/8/2016 19:03,5/8/2016,776,776,28,Successful
601257552,Tent Revival Zombies,Film & Video,Film & Video,United States,7/24/2012 6:28,8/23/2012,2000,500,10,Failed
1023090679,John Chuck & The Class Debut E.P.,Music,Hip-Hop,United States,3/7/2016 19:49,4/6/2016,5000,5612,103,Successful
1368044047,HAVEABABY,Film & Video,Film & Video,United States,11/11/2015 17:05,12/11/2015,50000,54311,478,Successful
918501358,SavR - The easy way to save,Technology,Apps,Australia,8/24/2017 10:27,9/23/2017,15663,599,21,Canceled
1019818505,The Cosmotic Mission - VR Game,Games,Video Games,United States,4/18/2017 14:00,5/18/2017,11040,11212,66,Successful
765997668,Lights in a bottle,Crafts,Glass,United States,1/23/2015 2:38,2/21/2015,500,3,3,Failed
1449667710,Temporary Miracles (Canceled),Music,Indie Rock,United States,11/26/2012 17:46,12/26/2012,5000,970,16,Canceled
1989567673,Grow your own (Canceled),Film & Video,Film & Video,United States,11/18/2013 19:33,12/18/2013,12000,6694,91,Canceled
819344333,The Wake Wing™,Technology,Flight,United States,10/29/2014 17:12,11/28/2014,4000,611,5,Failed
1225438543,Rustic Pony Restaurant & Meats,Food,Food,United States,10/20/2016 11:01,11/29/2016,55000,272,6,Failed
474374306,"""Santa's First Magical Ride"": Christmas Questions answered",Publishing,Children's Books,United States,7/16/2011 1:34,8/15/2011,10750,1760,20,Failed
1821911776,Engaged,Theater,Theater,United States,9/11/2012 4:20,10/12/2012,2000,2316,52,Successful
1260065674,Carbon Zero: A Short Tour of Your City's Future ,Publishing,Nonfiction,United States,3/17/2011 21:45,4/15/2011,10000,18861,329,Successful
524346610,MORE Kingston Graduate Show,Art,Illustration,United Kingdom,2/6/2017 23:49,4/7/2017,3727,3968,57,Successful
250191547,In The Dark Forest: A Text Adventure,Games,Video Games,United States,6/13/2017 12:21,6/18/2017,300,255,15,Failed
900985085,Team Tidal Freerunning | Classic T-Shirt | Support Our Cause,Fashion,Apparel,United States,10/28/2015 0:05,12/12/2015,500,125,4,Failed
1435944958,"Acclaimed photodocumentary ""Transfigurations"" ",Photography,Photography,United States,1/13/2011 8:38,2/23/2011,8000,12136,98,Successful
188364073,"""Working Class Hero"" A Motorsports Documentary",Film & Video,Documentary,United States,9/8/2014 20:24,11/7/2014,25000,3019,39,Failed
614270266,JW Mechanical Designer Watch JW-01,Design,Product Design,Hong Kong,11/9/2017 13:30,12/9/2017,32004,90513,269,Successful
1411993506,Drop Block -- Under Cabinet Knife Block,Food,Food,United States,12/14/2015 17:25,1/13/2016,50000,1,1,Failed
636297306,Get The Led Out: Led Zeppelin Prints by Ioannis,Art,Painting,United States,11/15/2012 22:25,12/15/2012,4560,7243,31,Successful
704196200,"THE UNIVERSAL UNIT ""[A MULTIFUNCTIONAL] BUG-OUT-TRAILER""",Design,Product Design,United States,9/22/2016 4:39,10/22/2016,20000,946,6,Failed
1166423946,Doughboy: Help Wanted,Film & Video,Documentary,United States,4/7/2013 23:30,5/7/2013,2750,77,2,Failed
2076597364,The Apprentice Tarot study deck!,Crafts,Crafts,United States,11/17/2017 2:04,12/27/2017,2000,7448,188,Successful
362074594,Check Us Out,Music,Music,United States,5/13/2013 19:34,7/12/2013,20000,0,0,Failed
1324373569,VeggieBump is Veggies On Demand!,Food,Vegan,United States,5/9/2014 3:10,6/26/2014,25000,14491,73,Failed
1644114531,8Limbs.Us: Founding a Female Muay Thai Website and Blog,Journalism,Journalism,United States,4/14/2012 5:49,5/14/2012,600,3013,29,Successful
838039136,The Grape Escape,Design,Product Design,United States,9/9/2014 3:54,10/9/2014,10000,575,9,Failed
1350448313,Avatar The Last Airbender Cosplay Flow Arts Peformance,Dance,Performances,United States,4/10/2015 0:54,4/20/2015,500,575,16,Successful
1052983801,Lease A Bee Hive & Get ALL the HONEY!,Food,Farmer's Markets,United States,4/28/2014 17:57,5/28/2014,3000,4715,62,Successful
320404141,The First Storm of Autumn,Publishing,Children's Books,New Zealand,11/2/2017 23:10,11/16/2017,679,1215,44,Successful
677310901,Brooklyn. Art. Empower. Change.,Art,Public Art,United States,3/20/2016 19:36,5/19/2016,2500,171,9,Failed
1329219488,"4PANEL Book 1 – feat. Connery, Jacobs, Laliberte & Shrestha",Comics,Anthologies,Canada,2/29/2016 4:36,3/30/2016,3838,4498,133,Successful
1806588303,"Wendy Ho's ""FU&K Me"" Music Video",Film & Video,Comedy,United States,5/22/2015 7:38,6/20/2015,7500,10606,198,Successful
800409974,Melinda's Restaurant,Food,Restaurants,United Kingdom,9/8/2015 18:00,10/8/2015,15340,15,1,Failed
1413373143,Storytelling Salem's First book!,Publishing,Publishing,United States,2/8/2015 1:30,4/9/2015,770,1343,59,Successful
746387907,TEASPRESSA Tea Blend Launch,Food,Drinks,United States,7/17/2015 4:00,8/16/2015,2000,4014,90,Successful
1986237020,Project DoNow - An alternative to greedy corporations!,Technology,Web,United States,9/8/2014 21:37,10/8/2014,50000,50,1,Canceled
1202951093,Chocolate Divino: A Perfect Cup of Hot Chocolate,Food,Food,United States,2/27/2012 17:02,3/28/2012,10000,2296,16,Failed
719650157,Common Knowledge,Fashion,Apparel,United States,6/24/2016 20:24,7/24/2016,150000,25,1,Failed
561067121,ShakeSphere,Design,Product Design,United Kingdom,5/7/2014 17:58,6/6/2014,8413,8552,106,Successful
14293250,"Nurture our great pollinator, the Bee, with a local hive.",Food,Food,United States,3/19/2013 19:43,4/9/2013,1200,1575,34,Successful
1391177323,WhosCrowded,Technology,Software,United States,11/19/2017 23:39,12/9/2017,30000,0,0,Failed
2145900067,comet one art show,Art,Art,United States,1/31/2011 0:47,3/2/2011,1500,10,1,Failed
1797288320,Brazil's Surui Swap Arrows For Internet: A Modern Adventure,Publishing,Nonfiction,United States,8/17/2012 2:12,9/26/2012,20000,226,9,Failed
1877826436,"UNPACKED, a one-woman show about growing up everywhere",Theater,Theater,United States,10/26/2011 0:22,11/30/2011,2100,3421,39,Successful
30481066,Wet Plate Collodion Darkroom - North Dakota Photographer,Photography,Fine Art,United States,11/3/2017 19:00,12/3/2017,2500,10,1,Canceled
146420808,Dirty Money - The Card Game,Games,Playing Cards,United States,10/30/2015 19:00,12/14/2015,16500,625,13,Failed
1266864212,Help Fund Trevor Wolford's Debut Album! Videos coming soon..,Music,Jazz,United States,6/12/2012 16:33,8/11/2012,10000,180,4,Canceled
1239646339,Slider Food Truck Start-up (Canceled),Food,Food Trucks,United States,5/2/2016 3:59,6/16/2016,25000,45,2,Canceled
1261703708,The Testament Of Karma: A Festival-Bound Short Film,Film & Video,Shorts,United States,2/2/2011 5:43,4/4/2011,3500,330,8,Failed
615077830,Music Video for Los Angeles Rock n Roll band La Vice,Music,Rock,United States,9/6/2012 0:17,9/19/2012,1500,1714,19,Successful
487030989,Objects of Interest,Film & Video,Shorts,United States,1/1/2011 6:15,1/31/2011,500,0,0,Failed
599945267,Kansas Pacific,Games,Tabletop Games,United States,2/5/2015 17:30,2/15/2015,5000,29851,405,Successful
669276433,SKETCH COMIC Make your own comics! Blank coloring books!,Comics,Comics,United States,5/20/2016 1:00,6/21/2016,2695,2827,64,Successful
614947385,Mobile Website Development Company,Technology,Web,United States,7/29/2014 19:38,8/8/2014,8000,50,1,Failed
443604576,Truly Sustainable FOOD! Integrated Food Water and Energy CSA,Food,Food,United States,7/13/2012 3:18,8/6/2012,38000,6754,112,Failed
2137602357,ZUNGLE : Wear the Beats,Design,Product Design,United States,6/16/2016 16:41,7/16/2016,50000,1947035,11349,Successful
1303876744,Artist Cargo Sketchbook Organizer,Art,Art,United States,9/2/2017 16:32,10/2/2017,5000,6206,67,Successful
2012334709,The Power of Music & Celebration,Film & Video,Documentary,United States,5/1/2010 0:15,7/29/2010,10000,575,4,Failed
2081938410,"""AEETES ROCK"" ALBUM FUND & YOUTUBE VIDEOS",Music,Rock,United States,10/26/2016 0:59,11/25/2016,250,1,1,Failed
279636755,BOSS MAGAZINE: Lifestyle Magazine that combines GQ & Forbes,Publishing,Publishing,United States,6/11/2013 0:08,7/11/2013,10000,0,0,Canceled
